"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
163,"H","Hyatt Hotels Corporation","Consumer Cyclical","Lodging","USA",14572.01,36.01,152.03,1.77%,1212937
164,"HCTI","Healthcare Triangle Inc","Healthcare","Health Information Services","USA",15.45,,2.63,-5.05%,612636
165,"HIMS","Hims & Hers Health Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",10726.89,59.40,47.46,-3.85%,23866270
166,"HNGE","Hinge Health Inc","Healthcare","Health Information Services","USA",3832.35,,48.86,-1.77%,881277
167,"HNST","Honest Company Inc","Consumer Defensive","Household & Personal Products","USA",395.01,63.17,3.55,-0.28%,4551065
168,"HPK","HighPeak Energy Inc","Energy","Oil & Gas E&P","USA",857.70,7.92,6.80,-0.29%,407941
169,"HROW","Harrow Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1439.02,,38.89,-4.73%,536368
170,"HRTX","Heron Therapeutics Inc","Healthcare","Biotechnology","USA",218.15,,1.19,-8.46%,2585952
171,"HTZ","Hertz Global Holdings Inc","Industrials","Rental & Leasing Services","USA",1538.39,,4.95,-3.13%,8062334
172,"HUBC","Hub Cyber Security Ltd","Technology","Software - Infrastructure","Israel",4.87,,1.60,-1.84%,3571427
173,"HUMA","Humacyte Inc","Healthcare","Biotechnology","USA",303.38,,1.62,-6.36%,6344118
174,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",4098.79,27.52,38.84,-17.22%,18572846
175,"HYPD","Hyperion DeFi Inc","Healthcare","Biotechnology","USA",49.55,,7.12,-5.57%,326325
176,"HZO","Marinemax, Inc","Consumer Cyclical","Specialty Retail","USA",560.42,,26.11,-1.10%,183205
177,"IBG","Innovation Beverage Group Ltd","Consumer Defensive","Beverages - Wineries & Distilleries","Australia",8.62,,3.71,-7.71%,104110
178,"IBRX","ImmunityBio Inc","Healthcare","Biotechnology","USA",2230.80,,2.36,-3.28%,12031358
179,"IBTA","Ibotta Inc","Technology","Software - Application","USA",932.90,11.22,32.85,0.74%,242629
180,"ICU","SeaStar Medical Holding Corp","Healthcare","Biotechnology","USA",20.98,,0.62,-2.33%,702961
181,"IEP","Icahn Enterprises L P","Energy","Oil & Gas Refining & Marketing","USA",4690.57,,8.18,0.00%,549519
182,"IMCR","Immunocore Holdings plc ADR","Healthcare","Biotechnology","United Kingdom",1637.53,,32.51,-3.16%,345145
183,"IMNM","Immunome Inc","Healthcare","Biotechnology","USA",1384.01,,15.90,-5.02%,1684821
184,"IMRX","Immuneering Corp","Healthcare","Biotechnology","USA",323.84,,5.35,-8.55%,1433492
185,"IMVT","Immunovant Inc","Healthcare","Biotechnology","USA",3294.59,,18.90,-1.72%,2054293
186,"INDI","Indie Semiconductor Inc","Technology","Semiconductor Equipment & Materials","USA",1156.53,,5.35,-4.97%,4496954
187,"INDP","Indaptus Therapeutics Inc","Healthcare","Biotechnology","USA",3.82,,3.45,-3.90%,44304
188,"INMB","INmune Bio Inc","Healthcare","Biotechnology","USA",47.33,,1.78,-5.82%,415791
189,"INOD","Innodata Inc","Technology","Information Technology Services","USA",2295.12,57.90,72.07,-6.44%,2288924
190,"IONQ","IonQ Inc","Technology","Computer Hardware","USA",19264.89,,55.45,-6.81%,39326803
191,"IOVA","Iovance Biotherapeutics Inc","Healthcare","Biotechnology","USA",777.99,,2.15,-5.29%,13741722
192,"IQ","iQIYI Inc ADR","Communication Services","Entertainment","China",1146.63,172.22,2.17,0.46%,8679377
193,"IRBT","Irobot Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",141.16,,4.50,3.69%,8862582
194,"JACK","Jack In The Box, Inc","Consumer Cyclical","Restaurants","USA",344.42,,18.24,0.50%,1064462
195,"JANX","Janux Therapeutics Inc","Healthcare","Biotechnology","USA",1582.87,,26.34,-1.83%,990751
196,"JBGS","JBG SMITH Properties","Real Estate","REIT - Office","USA",1591.55,,20.99,1.94%,529380
197,"JBLU","Jetblue Airways Corp","Industrials","Airlines","USA",1680.13,,4.62,-0.86%,27558985
198,"KALA","Kala Bio Inc","Healthcare","Biotechnology","USA",5.78,,0.82,-11.50%,657621
199,"KALV","KalVista Pharmaceuticals Inc","Healthcare","Biotechnology","USA",562.32,,11.13,-2.62%,815058
200,"KODK","Eastman Kodak Co","Industrials","Specialty Business Services","USA",511.20,,6.31,-1.56%,865137
201,"KPTI","Karyopharm Therapeutics Inc","Healthcare","Biotechnology","USA",53.25,,6.14,-4.51%,331668
202,"KRRO","Korro Bio Inc","Healthcare","Biotechnology","USA",381.37,,40.61,-2.00%,160417
203,"KRUS","Kura Sushi USA Inc","Consumer Cyclical","Restaurants","USA",803.52,,66.44,-0.45%,234361
204,"KSS","Kohl's Corp","Consumer Cyclical","Department Stores","USA",1868.28,9.10,16.67,1.65%,3533596
205,"KULR","KULR Technology Group Inc","Technology","Electronic Components","USA",172.47,,4.05,-2.64%,2636679
206,"LAC","Lithium Americas Corp (NewCo)","Basic Materials","Other Industrial Metals & Mining","Canada",1494.08,,6.69,-3.60%,30465322
207,"LASE","Laser Photonics Corp","Industrials","Specialty Industrial Machinery","USA",50.97,,3.57,-5.05%,508849
208,"LAZR","Luminar Technologies Inc","Consumer Cyclical","Auto Parts","USA",118.28,,1.72,-5.23%,7757181
209,"LB","Landbridge Company LLC","Energy","Oil & Gas Equipment & Services","USA",4346.54,147.21,56.78,0.32%,419204
210,"LCID","Lucid Group Inc","Consumer Cyclical","Auto Manufacturers","USA",5684.31,,18.50,-6.04%,8890640
211,"LDI","LoanDepot Inc","Financial","Mortgage Finance","USA",1065.58,,3.22,3.54%,5159939
212,"LE","Lands' End, Inc","Consumer Cyclical","Apparel Retail","USA",474.84,83.79,15.56,-0.64%,133515
213,"LENZ","LENZ Therapeutics Inc","Healthcare","Biotechnology","USA",932.67,,32.70,-2.56%,1743304
214,"LEU","Centrus Energy Corp","Energy","Uranium","USA",5732.38,51.73,314.83,-16.49%,3386987
215,"LFVN","Lifevantage Corporation","Consumer Defensive","Packaged Foods","USA",110.03,11.62,8.67,0.46%,116554
216,"LGHL","Lion Group Holding Ltd ADR","Financial","Capital Markets","China",0.75,,1.06,-9.40%,232433
217,"LGIH","LGI Homes Inc","Consumer Cyclical","Residential Construction","USA",1055.31,6.90,45.77,-2.76%,360066
218,"LMND","Lemonade Inc","Financial","Insurance - Property & Casualty","USA",3638.90,,49.25,-1.08%,1997024
219,"LOVE","Lovesac Company","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",215.79,23.70,14.77,-1.93%,752162
220,"LQDA","Liquidia Corp","Healthcare","Biotechnology","USA",1923.29,,22.34,-5.30%,2274361
221,"LRMR","Larimar Therapeutics Inc","Healthcare","Biotechnology","USA",336.37,,3.93,-8.39%,2415364
222,"LUNR","Intuitive Machines Inc","Industrials","Aerospace & Defense","USA",2028.45,,11.35,-10.49%,11122027
223,"LYFT","Lyft Inc","Technology","Software - Application","USA",8234.50,92.55,20.26,-1.84%,13310403
224,"MAMK","MaxsMaking Inc","Industrials","Conglomerates","China",23.46,207.89,3.16,-0.63%,14221
225,"MARA","MARA Holdings Inc","Financial","Capital Markets","USA",7094.27,17.15,19.15,-4.58%,41372865
226,"MBLY","Mobileye Global Inc","Consumer Cyclical","Auto Parts","Israel",11752.44,,14.31,-4.73%,7048768
227,"MBX","MBX Biosciences Inc","Healthcare","Biotechnology","USA",660.89,,14.78,-3.46%,695655
228,"MCW","Mister Car Wash Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",1688.74,19.60,5.16,-2.46%,1748026
229,"MDGL","Madrigal Pharmaceuticals Inc","Healthcare","Biotechnology","USA",9271.12,,415.95,-3.27%,287981
230,"MED","Medifast Inc","Consumer Cyclical","Personal Services","USA",138.92,38.35,12.64,-1.79%,147837
231,"MIRM","Mirum Pharmaceuticals Inc","Healthcare","Biotechnology","USA",3496.54,,69.60,0.90%,601107
232,"MNRO","Monro Inc","Consumer Cyclical","Auto Parts","USA",548.61,,18.30,-0.65%,500142
233,"MOB","Mobilicom Limited ADR","Industrials","Aerospace & Defense","Israel",35.57,,7.38,-4.90%,382253
234,"MP","MP Materials Corporation","Basic Materials","Other Industrial Metals & Mining","USA",12361.47,,69.80,-5.82%,21854787
235,"MPW","Medical Properties Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",3041.56,,5.06,-1.75%,6740513
236,"MRNA","Moderna Inc","Healthcare","Biotechnology","USA",10487.10,,26.85,-2.33%,7871696
237,"MSPR","MSP Recovery Inc","Healthcare","Health Information Services","USA",1.35,,0.90,22.58%,2262259
238,"MSS","Maison Solutions Inc","Consumer Defensive","Grocery Stores","USA",15.08,,0.77,-1.85%,734456
239,"MVIS","Microvision Inc","Technology","Scientific & Technical Instruments","USA",355.14,,1.18,-1.67%,7168776
240,"MVST","Microvast Holdings Inc","Consumer Cyclical","Auto Parts","USA",1740.64,,5.35,-6.30%,9686654
241,"NAAS","Naas Technology Inc ADR","Consumer Cyclical","Specialty Retail","China",1.39,,3.31,-4.06%,14254
242,"NBR","Nabors Industries Ltd","Energy","Oil & Gas Drilling","Bermuda",656.23,,41.70,1.83%,275580
243,"NCNA","NuCana plc ADR","Healthcare","Biotechnology","United Kingdom",7.68,,4.02,-4.51%,299690
244,"NEGG","Newegg Commerce Inc","Consumer Cyclical","Internet Retail","USA",858.49,,44.26,-11.83%,973453
245,"NFE","New Fortress Energy Inc","Energy","Oil & Gas Midstream","USA",506.50,,1.78,-5.82%,9913312
246,"NGNE","Neurogene Inc","Healthcare","Biotechnology","USA",438.71,,30.74,-2.63%,107899
247,"NITO","N2OFF Inc","Basic Materials","Agricultural Inputs","Israel",3.65,,3.83,-4.25%,401899
248,"NKTX","Nkarta Inc","Healthcare","Biotechnology","USA",156.26,,2.20,-7.95%,1361326
